example_id                                                                                               | status | run_time        |
-------------------------------------------------------------------------------------------------------- | ------ | --------------- |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:1] | passed | 0.00832 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:2] | passed | 0.00755 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:3] | passed | 0.75111 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:4] | passed | 0.00992 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:5] | passed | 0.01335 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:1:6] | passed | 0.00774 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:2:1] | passed | 0.00402 seconds |
/rails/vendor/llama_bot_rails/spec/controllers/llama_bot_rails/activity_events_controller_spec.rb[1:2:2] | passed | 0.00622 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:1:1]      | passed | 0.01363 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:1:2]      | passed | 0.00097 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:2:1]      | passed | 0.00093 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:3:1]      | passed | 0.00087 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:3:2]      | passed | 0.00075 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:4:1]      | passed | 0.00067 seconds |
/rails/vendor/llama_bot_rails/spec/helpers/llama_bot_rails/activity_helper_time_zone_spec.rb[1:5:1]      | passed | 0.00075 seconds |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:1:1]                  | passed | 0.05266 seconds |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:1:2]                  | passed | 0.00246 seconds |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:1:3]                  | passed | 0.0004 seconds  |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:1:4]                  | passed | 0.00077 seconds |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:2:1]                  | passed | 0.00111 seconds |
/rails/vendor/llama_bot_rails/spec/lib/llama_bot_rails/display_time_zone_spec.rb[1:2:2]                  | passed | 0.00046 seconds |
